epoch,train_loss,val_loss
248,0.003330,0.003780
249,0.003174,0.003761
250,0.003164,0.003820
251,0.003203,0.003873
252,0.003266,0.003750
253,0.003225,0.003849
254,0.003108,0.003837
255,0.003038,0.003843
256,0.003103,0.003649
257,0.003048,0.003641
258,0.003003,0.003636
259,0.003026,0.003691
260,0.003016,0.003749
261,0.003005,0.003602
262,0.003036,0.003702
263,0.003135,0.003855
264,0.003175,0.003581
265,0.003020,0.003615
266,0.002989,0.003542
267,0.002916,0.003543
268,0.002967,0.003705
269,0.003082,0.003502
270,0.003002,0.003577
271,0.002898,0.003461
272,0.002996,0.003813
273,0.002892,0.003479
274,0.002906,0.003442
275,0.002911,0.003518
276,0.002939,0.003434
277,0.002887,0.003570
278,0.003027,0.003605
279,0.002850,0.003444
280,0.002844,0.003531
281,0.002898,0.003510
282,0.003014,0.003454
283,0.002863,0.003472
284,0.002973,0.003374
285,0.002875,0.003549
286,0.002876,0.003607
287,0.002947,0.003412
288,0.002813,0.003385
289,0.002885,0.003458
290,0.002801,0.003346
291,0.002768,0.003385
292,0.002785,0.003388
293,0.002788,0.003325
294,0.002772,0.003383
295,0.002858,0.003400
296,0.003074,0.003535
297,0.002747,0.003738
298,0.003054,0.003364
299,0.002767,0.003327
300,0.002771,0.003523
301,0.002924,0.003251
302,0.002714,0.003239
303,0.002769,0.003260
304,0.002757,0.003227
305,0.002703,0.003238
306,0.002692,0.003539
307,0.002954,0.003257
308,0.002700,0.003530
309,0.002738,0.003292
310,0.002679,0.003244
311,0.002675,0.003188
312,0.002756,0.003195
313,0.002723,0.003185
314,0.002677,0.003586
315,0.002688,0.003226
316,0.002734,0.003324
317,0.002663,0.003219
318,0.002691,0.003319
319,0.002703,0.003228
320,0.002656,0.003273
321,0.002719,0.003213
322,0.002674,0.003171
323,0.002632,0.003182
324,0.002737,0.003402
325,0.002816,0.003165
326,0.002615,0.003153
327,0.002678,0.003173
328,0.002711,0.003307
329,0.002722,0.003148
330,0.002641,0.003146
331,0.002686,0.003173
332,0.002589,0.003140
333,0.002691,0.003163
334,0.002747,0.003166
335,0.002598,0.003176
336,0.002701,0.003129
337,0.002612,0.003120
338,0.002594,0.003101
339,0.002662,0.003155
340,0.002736,0.003152
341,0.002786,0.003488
342,0.002638,0.003208
343,0.002613,0.003147
344,0.002591,0.003114
345,0.002591,0.003091
346,0.002560,0.003071
347,0.002552,0.003142
348,0.002578,0.003287
349,0.002589,0.003129
350,0.002626,0.003161
351,0.002586,0.003083
352,0.002581,0.003067
353,0.002571,0.003070
354,0.002596,0.003087
355,0.002616,0.003193
356,0.002834,0.003314
357,0.002693,0.003087
358,0.002583,0.003241
359,0.002588,0.003107
360,0.002580,0.003231
361,0.002629,0.003191
362,0.002570,0.003310
363,0.002588,0.003089
364,0.002545,0.003034
365,0.002630,0.003327
366,0.002583,0.003102
367,0.002582,0.003039
368,0.002538,0.003042
369,0.002549,0.003189
370,0.002576,0.003061
371,0.002589,0.003077
372,0.002655,0.003159
373,0.002561,0.003158
374,0.002568,0.003198
375,0.002662,0.003105
376,0.002538,0.003132
377,0.002582,0.003102
378,0.002591,0.003022
379,0.002514,0.003079
380,0.002508,0.003233
381,0.002565,0.003044
382,0.002602,0.003077
383,0.002637,0.003191
384,0.002628,0.003032
385,0.002559,0.003181
386,0.002827,0.003380
387,0.002830,0.003171
388,0.002654,0.003033
389,0.002600,0.003031
390,0.002545,0.003049
391,0.002615,0.003055
392,0.002567,0.003008
393,0.002511,0.003018
394,0.002557,0.003122
395,0.002583,0.003043
396,0.002529,0.003023
397,0.002554,0.002979
398,0.002618,0.003020
399,0.002599,0.003079
400,0.002501,0.003070
401,0.002499,0.002999
402,0.002533,0.003124
403,0.002517,0.003012
404,0.002503,0.003023
405,0.002480,0.003043
406,0.002484,0.003150
407,0.002500,0.002991
408,0.002521,0.003001
409,0.002475,0.003024
410,0.002492,0.003409
411,0.002678,0.003100
412,0.002527,0.003045
413,0.002524,0.003008
414,0.002507,0.003032
415,0.002498,0.002985
416,0.002484,0.003131
417,0.002479,0.003041
418,0.002505,0.003022
419,0.002566,0.003124
420,0.002497,0.003068
421,0.002456,0.002982
422,0.002550,0.003475
423,0.002641,0.003019
424,0.002540,0.003086
425,0.002530,0.003076
426,0.002485,0.003021
427,0.002479,0.002972
428,0.002465,0.002992
429,0.002546,0.003064
430,0.002450,0.002972
431,0.002530,0.003213
432,0.002506,0.003013
433,0.002430,0.003094
434,0.002548,0.003167
435,0.002547,0.003293
436,0.002509,0.003093
437,0.002516,0.002974
438,0.002494,0.003023
439,0.002496,0.003113
440,0.002552,0.002966
441,0.002476,0.002972
442,0.002468,0.003124
443,0.002557,0.003250
444,0.002532,0.003092
445,0.002489,0.003018
446,0.002441,0.003067
447,0.002536,0.003012
448,0.002509,0.003015
449,0.002760,0.003427
450,0.002659,0.003259
451,0.002510,0.002979
452,0.002472,0.002962
453,0.002453,0.003016
454,0.002518,0.003015
455,0.002552,0.003114
456,0.002486,0.003006
457,0.002461,0.002957
458,0.002427,0.002977
459,0.002466,0.002997
460,0.002496,0.002966
461,0.002489,0.003017
462,0.002483,0.003004
463,0.002453,0.003078
464,0.002503,0.003036
465,0.002476,0.003176
466,0.002640,0.003023
467,0.002496,0.003014
468,0.002465,0.003180
469,0.002504,0.002955
470,0.002458,0.003008
471,0.002437,0.003015
472,0.002421,0.002995
473,0.002469,0.002953
474,0.002414,0.003014
475,0.002495,0.003057
476,0.002454,0.002949
477,0.002472,0.003233
478,0.002755,0.003061
479,0.002542,0.003020
480,0.002436,0.002984
481,0.002499,0.003098
482,0.002546,0.003007
483,0.002489,0.002978
484,0.002441,0.003016
485,0.002464,0.002967
486,0.002530,0.003136
487,0.002505,0.003073
488,0.002487,0.003462
489,0.002685,0.003025
490,0.002503,0.002991
491,0.002437,0.003095
492,0.002478,0.002999
493,0.002439,0.002983
494,0.002514,0.002978
495,0.002447,0.002975
496,0.002558,0.003273
497,0.002547,0.002987
498,0.002473,0.002974
499,0.002522,0.003459
500,0.002467,0.002973
